fid,dist,dtm,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18
4148.0,0.0,103.8,0.01200792926178935,0.010488536520545953,0.00811370767006058,0.0058949937746526635,0.004345080220210595,0.003507323195744329,0.003338782445470557,0.004065271137414681,0.007058287776409239,0.021670520740898095,0.22126328922958294,0.09685046740550905,0.05857249973048561,0.044631230634381014,0.03616621546038785,0.033657945554787676,0.033781913648297794,0.034149396421877844
4148.1,2.8188827572434962,104.2,0.01145074746595777,0.010074220440892841,0.007893783661430174,0.0058193983743255765,0.0043417392992972734,0.00352337463373308,0.003329754083199829,0.003941278273580408,0.006467755214433886,0.018693097643374228,0.2155339943355903,0.10245983946974022,0.05951577781050653,0.044696511520033455,0.0360048275210599,0.033550814730881826,0.03375014623806277,0.034149686154925425
4148.2,5.647345237221441,104.4,0.011593707764732513,0.01013904696015899,0.007872372986341641,0.005754084674763293,0.004265255790388212,0.003442790640526006,0.0032308535890066136,0.003775646265646209,0.00605770895584833,0.017081676862537813,0.21206431781415302,0.10612241760083459,0.059414658813009134,0.04450205150930531,0.03580931232081703,0.0333992229710978,0.03369386339805423,0.034146914645544535
4148.3,8.466227994576442,104.6,0.00955321098739244,0.009511275568768272,0.008542487303765108,0.005539808694925533,0.004260412758305277,0.004142021466994728,0.004121984300729126,0.004132661875194842,0.004665706576523412,0.020249338769671197,0.1807734642410115,0.11691098935025719,0.10711420406202217,0.10259725762715101,0.10038542692645569,0.09918919966440631,0.09789793815316095,0.09670659465048324
4148.4,11.29469047428768,104.7,0.010005537524973282,0.00995176498542139,0.008637280140119013,0.005255012484234038,0.004074659614511563,0.003988755763096008,0.0039761094843835275,0.003991128371118499,0.004500476169962578,0.018970193894361536,0.18162604162425114,0.11568198756854525,0.10603384783431256,0.10174742198272342,0.099901862294677,0.09924059526863897,0.09861743100185312,0.09803263467974249
4148.5,14.123152954265626,104.7,0.010910887935495767,0.010809466845740592,0.008638856702598159,0.004806937271157964,0.0038608735747059607,0.003814953603451176,0.0038105975749337514,0.0038314036992971494,0.004361262353636374,0.018499581959398194,0.18338307623053432,0.11437457913645852,0.10518351151737254,0.10108943962918662,0.09957384416562462,0.09941952848697441,0.0994101202550629,0.09932286643472878
4148.6,16.942035711620626,104.7,0.010994587229906125,0.010841633314925317,0.00821839996041653,0.004700546969974697,0.004008079986339988,0.003983717890555867,0.003984820104125543,0.00401126241781617,0.004580576386954781,0.019344006066243428,0.1713900671540756,0.12212887981086253,0.11492656000773104,0.11168176877101653,0.11050239822736743,0.11038471206358144,0.11038497126905744,0.11032329723155601
4148.7,19.77049819159857,104.7,0.011209069170198751,0.010987323584353878,0.008424882478253163,0.004799333207021683,0.003881520185126607,0.0037804636566024243,0.0037606710352379854,0.0038327126866775753,0.004498771630979615,0.01712212370411874,0.18259942068253102,0.11716708720421629,0.09083555503706603,0.0735256013207339,0.06038694297105545,0.049257572806495176,0.038920517316347714,0.034563726701150786
4148.8,22.598960671309808,104.6,0.012083454813373834,0.011700747404168632,0.007634654257971393,0.004339190669553623,0.003912730305639297,0.0039020185047948627,0.003906739975286762,0.003935935203595487,0.004490929860937909,0.018619345901931275,0.17357104145874808,0.12019943111535505,0.11252475294122839,0.10908062294880459,0.10779199167423935,0.10766210615089873,0.10768815844558932,0.10763802057806249
4148.9,25.41784342893242,104.5,0.010875671548954554,0.010006265247635496,0.008165403572616393,0.0060921890329932215,0.004560698513786614,0.0036644648921076843,0.0033202512705176085,0.0036669264343356387,0.005770701675638155,0.01879090117980624,0.16809336804979058,0.14427376277855772,0.07546366994972345,0.045779895713302175,0.035121502626054894,0.03402679559331463,0.03414082234090136,0.03422640587749061
4149.0,28.24630590864366,104.4,0.010860542396865585,0.009995194454206912,0.008163973058008655,0.006101823747345645,0.004577674858586029,0.0036860489568285265,0.0033472551873982214,0.003705349842463315,0.0058417161659220325,0.018942051124194163,0.1659497334001345,0.1459532751919469,0.0763350448558185,0.046225134186864116,0.03518175204395497,0.034040143689978195,0.0341437945332586,0.03422637035550696
4149.1,31.16692228195049,104.3,0.011041378130930646,0.010134899736175089,0.008224742673951575,0.006105914794120022,0.004567330914978868,0.0036792521965257987,0.003349851883532721,0.003725410073430487,0.005913735135478211,0.019254328997449943,0.1655561901389829,0.14636717477281244,0.07687529062345072,0.04675779734085256,0.035266638874582965,0.034049092362635154,0.03414394183445047,0.034226292285355855
4149.2,34.07788432236525,104.3,0.012415068377014159,0.012024410951375257,0.007782558462548675,0.004290605775366034,0.0038317318634350783,0.0038193217334689306,0.0038240256511921423,0.003854508732702437,0.004445609588871224,0.018285856101096006,0.17725870862333928,0.11750361374636092,0.10864211565808594,0.10428572784867855,0.10269486148613242,0.10260452715322832,0.1026761549695068,0.10263601668815692
4149.3,36.99850069567208,104.2,0.012250475243250028,0.011934188675810364,0.008021226463283862,0.0043702077293972024,0.003839210396186856,0.003824593884803116,0.0038293671665242846,0.003861062532951735,0.004490618390294224,0.019014686448908177,0.17580971945014415,0.1185561803715206,0.10976107126610991,0.10540398520492106,0.10382863155558004,0.10374609429579461,0.10381475685140976,0.10377311112926257
4149.4,39.919117068866505,104.2,0.010541751468741771,0.009637386885171597,0.007991961084077332,0.0061676238717745845,0.0046745255031007855,0.0037268713383577278,0.0033864549314002617,0.003886055652935036,0.006548757203385793,0.02063588346857507,0.15697707084166884,0.16058271737931964,0.059967314399100025,0.03829929395547315,0.03450659574450855,0.03399582141038286,0.034111685944524024,0.03421277773107555
4149.5,42.83007910903811,104.1,0.010299497164583084,0.009464500335437989,0.007924522927812977,0.006186639189606988,0.004740872601009911,0.003816286703682009,0.00349792836618826,0.004048984284244274,0.006878436446381528,0.021594196717729365,0.15292016739427092,0.16310742844120804,0.06066561372614224,0.03835156351306153,0.034539778535156475,0.0340284994802584,0.0341239010839337,0.034213297505186535
4149.6,45.75069548258729,104.0,0.01131399037264717,0.01004174808017276,0.007954456142836522,0.00589452982893969,0.0043768942927048795,0.0035031958917743013,0.003260684378759984,0.003857875626403832,0.006555409437510724,0.01969935833238354,0.16810780979650558,0.15440840960377264,0.05744580599765644,0.03867601768841896,0.03452371204101251,0.033764594893708866,0.03399006834766582,0.03419808366575822
4149.7,48.67131185578172,103.9,0.011464408409574618,0.010039566598069639,0.007821942670459379,0.005746963185298512,0.004286685089453133,0.0034909459650669934,0.0033346289254104996,0.0040400285179407296,0.006833347789037986,0.019310089554788544,0.170529690317712,0.15272773259292988,0.057432988594852054,0.03930186118661426,0.034547070852105094,0.0335341449725277,0.033870193181849265,0.03418324731107307
4149.8,51.5822738960657,103.8,0.011079674502851201,0.00979941881620289,0.007760009398997959,0.005800402621138855,0.00439172380091863,0.003619264130392886,0.0034874831611271377,0.00424473504002314,0.007163802687990871,0.019988243143666016,0.1681280668457012,0.15502066950456295,0.057151859502083166,0.03900702763300666,0.03448498393774186,0.03356586074286232,0.03389338059713077,0.034187213669126054
4149.9,54.50550840582072,103.7,0.010658439087314184,0.00953389036238716,0.00769637093723843,0.0058764105803281045,0.00453479137526878,0.003793069565787659,0.003688186821696373,0.004489890448936257,0.007481506911804478,0.020424481057928937,0.1664271384304963,0.15681828978994306,0.056649622879385686,0.03871164007475792,0.03442531053850477,0.033587401571995176,0.033910731515903514,0.03419040642043581
4150.0,57.4261247793699,103.5,0.01055334249480354,0.009500579427573768,0.0077564702811700565,0.006001343155343482,0.004693014029403564,0.003973698692325503,0.0038997605759967767,0.004754763342539611,0.0078281664952963,0.020929368516770498,0.1675121777145494,0.15606697332158528,0.05631906740097387,0.0385457000347607,0.034386623891372634,0.03360096522892714,0.033919621479904995,0.03419192939033204
4150.1,60.41297931210235,103.4,0.010143590798762406,0.009248827149376753,0.007729492714994114,0.006151094399338322,0.0049425448775923435,0.004275240553867655,0.004236322196057757,0.005108047275079197,0.00809389016556824,0.02078943677665446,0.16781312561778458,0.15651743579400804,0.055461417154096714,0.038303438236664517,0.03438636142647432,0.033639744188172074,0.033938508013228785,0.0341940344051739
4150.2,63.399833844949,103.3,0.009584489049607934,0.008901798064913136,0.007695655201035868,0.006374231234576029,0.005308071153512331,0.004696238400461143,0.004660193860059834,0.0054728503695452855,0.008267103189366914,0.020650243573584862,0.16777077560628645,0.15643418227309167,0.05616874712191134,0.03850117454586913,0.03445043647315393,0.03366898627807505,0.03394803405125786,0.03419428533796347
4150.3,66.39649865748268,103.1,0.009390441717807074,0.008835229394211634,0.007826201031449443,0.006676768522929631,0.0057113227312399735,0.005135149325797476,0.00508203032619897,0.005810011074403001,0.008424291894083273,0.02068034639762227,0.17076378434057266,0.15276037060711978,0.05729371124344848,0.03888240719583423,0.03455965771526384,0.033706748734119205,0.03395856389985415,0.03419418320718598
4150.4,69.38335319032933,103.0,0.007226013917004035,0.007210179218974951,0.0071713516959594275,0.007105070253611476,0.007016138722587879,0.006922649096428742,0.00685284711397452,0.00683875665284175,0.007479678710374664,0.02431538079504113,0.15154284012265168,0.1323881814877143,0.12692549039029621,0.12375865413912499,0.1226943225829524,0.12265655735803176,0.12265510625113149,0.1226017465821999
4150.5,72.37020772306178,102.8,0.00739258548269143,0.0073851198259209366,0.007367150176872369,0.007337352419345528,0.007299415223195582,0.007264627005567598,0.007251637814827857,0.007287848025533138,0.008194340868706506,0.02692120933339186,0.14145587944187923,0.13509766753489005,0.13206416415997113,0.130166965573127,0.12946771982723096,0.12938922150526996,0.12935134447632246,0.12929899956060328
4150.6,75.35706225590843,102.7,0.007594151333892637,0.007585411846746736,0.0075641759008523764,0.0075281351840959295,0.007479455711530701,0.007428013661764134,0.007393060839949183,0.0074041154406546345,0.00819786692458152,0.02616607695754808,0.14917496584940668,0.1333145523831105,0.1286575004613971,0.12600036156907057,0.12511207350290038,0.1250796153375058,0.12507214727679436,0.12502371302694493
4150.7,78.34391678875508,102.5,0.007876564729882001,0.007869364756179675,0.00785162043956368,0.00782103704209545,0.007779423058312067,0.0077361077074738225,0.007709284464716435,0.007726326509983832,0.008458247225633103,0.026170095215253635,0.15140971715111587,0.1324083043678639,0.12818755610152638,0.12588164521299158,0.12507972762167394,0.12502477496110995,0.12501187344736508,0.12496436085049972
4150.8,81.34058160146901,102.4,0.008374057200714737,0.008323300056307574,0.008193736684858316,0.007964237378359046,0.007648740247915792,0.007341307836436488,0.007266773619122653,0.007897680169224174,0.010856919940641986,0.02855692243842742,0.1430985341897897,0.144664739377801,0.10093264092492157,0.07069579761458251,0.04915268795839316,0.035249544640085916,0.03425674170475801,0.03422726432215809
4150.9,84.32743613431566,102.2,0.008732120399034914,0.008676711142436238,0.008533018861814238,0.008274069119749407,0.007911129481599147,0.007545569089233706,0.007419986811240966,0.008026526074345714,0.011042055351827514,0.029466922498808938,0.14573418635177765,0.14223575406012184,0.09988168528813965,0.07063558218397062,0.04940637625401884,0.03531815985637987,0.034261257670142584,0.03422738641062415
4151.0,87.31429066704811,102.0,0.00872502954448837,0.008795430125622563,0.00897118290623406,0.009215439926381715,0.009277609412528566,0.008670804103202374,0.007333935081008087,0.006262318340701244,0.007131443118462512,0.018014766584947925,0.2146049309086249,0.09005920570534628,0.07795580057826611,0.05381317807447992,0.037168275420581834,0.03389580850323314,0.03388201185480437,0.03416001574202287
4151.1,90.32470592074378,101.8,0.009057550934179115,0.009114614068080569,0.009252304021251632,0.009416792040889193,0.009351248747802363,0.008628662039258017,0.00729097391804382,0.006322860646591988,0.007406535126054516,0.019271856084839303,0.2179749201180935,0.08586422083134693,0.0762844011066016,0.053108975953052265,0.03703639342713272,0.03386354819925122,0.03387477144590183,0.03416021463542403
4151.2,93.3339749349469,101.5,0.009987428427870187,0.009927116787733005,0.00980855055818674,0.009596252600863863,0.009148645698065127,0.008272444827115564,0.007111019129536898,0.0064581338682007045,0.00798892169726859,0.021595954308460605,0.22230593215969985,0.08193629871660595,0.07350411183484212,0.05143276747991785,0.03674431061167597,0.0337809956008286,0.03385425225303228,0.034161019843517056
4151.3,96.33445822951361,101.3,0.010504566046535187,0.010281341443432113,0.00977281950805238,0.009006544242309745,0.00814505937499157,0.007473259099406145,0.007389947819434148,0.00865004178765459,0.013776650413613862,0.03556495254617229,0.15244475683159375,0.1419995510125975,0.06498443185105879,0.03917535127227993,0.034821765096411564,0.03418827998357987,0.034176234461319455,0.03421447479592068
4151.4,99.34372724371673,101.1,0.010897973150513825,0.010610746859829127,0.009978633971989812,0.009070394453311136,0.008107289428740361,0.007410600829310369,0.007386232119532353,0.00881662231806572,0.014388630573635808,0.037362498317945664,0.1539328006517436,0.14048060885870328,0.06433819018089043,0.03910862175811817,0.03480497075355715,0.0341817459585291,0.034175246580085215,0.03421475805866404
4151.5,102.3541424974124,100.9,0.011296914300196213,0.010934526869969334,0.010162180650574103,0.00910101062792886,0.008034692360832759,0.007314382442056479,0.007348093167353739,0.008948853384392316,0.01499184519346247,0.03925575732225592,0.15548097016336335,0.14008467905202063,0.06449548904898342,0.03918392098475061,0.034815544265657916,0.03418023102735176,0.0341745046763757,0.034214770935851506
4151.6,105.36341151172074,100.8,0.011429897431710525,0.011019252546260483,0.010162829884810303,0.009021109460530202,0.007915632345912652,0.007209684410711503,0.007312408249719407,0.009074620151787258,0.015559057143591563,0.04095886592940858,0.15574756482228136,0.1415666918518638,0.06565072869485378,0.03938556577040668,0.03484590342099874,0.03418417642256344,0.03417499013088663,0.03421471044171566
4151.7,108.37382676541641,100.7,0.01418856224425959,0.01280018657424965,0.010577523897455643,0.008408978812317858,0.006848452205888033,0.0060640230792678735,0.006148276598785814,0.00755929322168856,0.012695337062906199,0.03904635396125556,0.2142974205852336,0.08927584891985454,0.08343017030884264,0.04883992686892385,0.0357541583061297,0.033434298422859166,0.03379378728618117,0.034172768353315564
4151.8,111.3731600246238,100.6,0.015085946013380591,0.013300855680944516,0.010565016237080947,0.008045721690075888,0.00633982955459263,0.005555927713096253,0.005779864300224905,0.007619707342793968,0.013997167909314018,0.044271572676396656,0.20625770878182567,0.09828543162104053,0.08534922385266881,0.04975116605230654,0.036029178091609985,0.033487935564061884,0.033801111848867374,0.03417152251567696
4151.9,114.38357527842774,100.6,0.015522077863911252,0.01345628207137914,0.010394143362401414,0.007691308225620104,0.0059384157879822375,0.005184281737414494,0.00551017779343626,0.007658886336369024,0.01504949401499447,0.04811497807255533,0.19983530309416375,0.10485448693607671,0.08571596431554855,0.04976334610652835,0.036151459984812846,0.03355837377081641,0.033823548798560706,0.034172206304703134
4152.0,117.39284429263085,100.6,0.015028403136245195,0.013230174530007943,0.0104137316044332,0.007778276668281118,0.005968031037307409,0.005112961801431351,0.005344038370564234,0.007531780240410301,0.015856145743367144,0.05158579764037046,0.18903453031148063,0.12254851582235984,0.07379027539084972,0.04458844272259319,0.03582687014509298,0.03398505361860707,0.03401151239855618,0.03418892048669012
4152.1,120.40523536951362,100.6,0.015211296130849462,0.013263875383241166,0.010279036229171664,0.007557131308613738,0.0057309184225706146,0.004888402622179662,0.005144000693664038,0.007419245788745367,0.016260851148658387,0.054218347003838555,0.18682648783102393,0.12290168293079066,0.07255748933347049,0.0444238753112537,0.03584102111764571,0.03399283774435984,0.034012307400189686,0.03418870194061094
4152.2,123.42761853514894,100.7,0.01503634499805866,0.013081229924852973,0.010094908655692273,0.007384343643806573,0.005573256697177432,0.004739039239904136,0.0049907818868185965,0.007262773390699071,0.016277996982884797,0.05560225015584728,0.18631314969208954,0.121585417973568,0.07024346272696741,0.043821770764641436,0.035737520212216455,0.033976992095734945,0.034010970769489834,0.03418923384347854
4152.3,126.4400096120317,100.7,0.015453774673707685,0.013322351064972548,0.01012666855718568,0.007287563750362975,0.005421028734867403,0.004558913180520359,0.004775411260513164,0.0069904204955406534,0.016123728705618467,0.05797239674353239,0.18792570390376298,0.11789004927531808,0.06737338902954455,0.043246304919891634,0.03562427724060642,0.033932771776686785,0.03399801697268595,0.03418910805299232
4152.4,129.462392777704,100.8,0.015493701932999582,0.013343273375268624,0.010115941816123266,0.007247175892728791,0.0053562141109884396,0.004466516284333768,0.004633644921007391,0.0067346173394077355,0.015663696127895536,0.05895097326370378,0.19120891666756382,0.11350524405612908,0.06447931406725166,0.04248821661186992,0.03542456926794549,0.03386542465589767,0.03398229127835486,0.03418980059917219
4152.5,132.47519877876465,100.8,0.016016206784905597,0.013701435928161573,0.010270005315034844,0.007262730380530314,0.005298384685785172,0.004362201262959191,0.004471860351437397,0.006454284582629097,0.015204643384886637,0.060803702394228956,0.1954559576966253,0.10818375958007626,0.06202853171133752,0.04196728496393427,0.03525813114959437,0.03377961718236648,0.033955980151791895,0.03418938865878733
4152.6,135.4875898556474,100.8,0.017709900419021832,0.014547516230766267,0.010288911863458667,0.0069162470194094935,0.004887743174976759,0.003979430851456977,0.004104963848170824,0.006036565624037389,0.014672771046811972,0.06468089220047465,0.2023751788879359,0.09527724955271837,0.06547968256490572,0.04469305809693664,0.03526862411424759,0.03321242733019612,0.033701623203135266,0.03416505264905883
4152.7,138.50997302120336,100.8,0.017976226583168567,0.014780067552343361,0.010460321768438906,0.00702480225301217,0.004944696474521863,0.003991943929447076,0.004062881608778399,0.005881726794037892,0.014247232626261456,0.06613855291532214,0.20659051841207582,0.09052161470011437,0.06431281207319269,0.04492115239085832,0.03535738136278944,0.033200208991334676,0.03368495699230054,0.03416141896560699
4152.8,141.52236409808611,100.9,0.017245449599024996,0.014432684213674343,0.010477927340442391,0.007195379005929945,0.0051339590440984,0.004154008635778846,0.004182022119466919,0.0059066330543104065,0.013882555754122892,0.06523259748629585,0.2113240973782553,0.08598627328204933,0.06511623504319708,0.046000737076832734,0.03563716013381567,0.03325757620555026,0.033689830820596615,0.03415984129171258
4152.9,144.5447472637584,100.9,0.016961883299372944,0.014324699626098693,0.010541835152942358,0.007331282895656839,0.005275432290000394,0.00427944058334559,0.004287770665953066,0.005978085316911697,0.013827118692038839,0.06600645951862827,0.21439522783446752,0.08235408128945243,0.06666482510076283,0.047495674596036874,0.03599006191067386,0.033324986864485207,0.03369695171372152,0.03415697327946552
4153.0,147.55713834064116,100.9,0.016427876346346522,0.014040664529196412,0.01052831318613542,0.007459797092487022,0.005445821463542691,0.004453518073708584,0.004460579549436962,0.006148264771029261,0.013924140949740994,0.06666902167498923,0.21677716075036965,0.07915880143430869,0.06938684914996382,0.04929884437849955,0.03629530384278274,0.03336986810553884,0.03370434904927772,0.03415520163713524
4153.1,150.58847467964125,101.0,0.01558547742562932,0.013529149148571276,0.01040606661918925,0.007573315794933903,0.005653373602570621,0.004690755839005253,0.0047140742918705325,0.0064147590639400415,0.014092022458032656,0.06676956928874991,0.21949024167819348,0.07567959522386596,0.07200536613854007,0.05067853006841696,0.03635733980234146,0.033333432236449134,0.033691641235225674,0.034156735493907436
4153.2,153.609534096489,101.1,0.01469800483024154,0.012949366430613937,0.010217044387083983,0.00765008784947685,0.005857703333451809,0.004950338003063239,0.005008600340745485,0.006736732319533341,0.014321821487977678,0.06695149164777231,0.2220836082806724,0.07228599814548813,0.07418519728885223,0.05149915458179388,0.0362796048916651,0.03326727713279646,0.03367830131027268,0.0341585192675069
4153.3,156.64087043537273,101.1,0.014367433381024565,0.012706758204984386,0.010109321013973877,0.007662290292809199,0.005955604743595623,0.005114465276713096,0.005242138415467261,0.007066060248861022,0.014789234386800115,0.0688060731817164,0.22333649044701442,0.07052169822605221,0.07537955452145848,0.051628861715392015,0.03609294701794419,0.03316137028040209,0.03365382828892763,0.03415859570812385
4153.4,159.67192635702466,101.2,0.01339408741229782,0.012024153413656341,0.009823245610415905,0.007679287287282509,0.00614405517177664,0.005393278840088367,0.005577979784991659,0.007427498941028305,0.015015258209631357,0.06880057909011064,0.22524076038676674,0.06821785838041243,0.07733250573823251,0.051467556736240115,0.035829908891951305,0.03306616504916708,0.033637096683002125,0.034162504011086
4153.5,162.69326711904628,101.2,0.012968343959376578,0.011707257996355943,0.009668425149140148,0.007665704273582982,0.006229000382067924,0.005550180741532043,0.005803432365401377,0.007735155963609621,0.015443148554132494,0.07066087513230394,0.2254077704219651,0.06776283170453783,0.0781650110383312,0.05105989906068876,0.03565131451679916,0.03301255811528765,0.03362960448049695,0.034166850400467165
4153.6,165.72432304067362,101.2,0.012505709499025524,0.011363475514938735,0.009498365849618889,0.007644457336775329,0.0063074673111942125,0.00569727665210036,0.006012622642132442,0.008013254531206599,0.01583022722490996,0.07244607283034765,0.2253077159523298,0.06767418209856557,0.07842480346445249,0.05060071624084848,0.035524819583241905,0.03298340196489568,0.033628958972313765,0.034167233386877584
4153.7,168.74566380269525,101.1,0.012495058582875751,0.011330516234492995,0.009447734828459398,0.007600585158640082,0.0062941406505674915,0.005734830209989238,0.0061300197110366805,0.008266713722004096,0.016386863500224624,0.07570177350709426,0.22395548597547954,0.06820344694339034,0.07825847202844353,0.049972314095580304,0.035374869251766625,0.032946189107893036,0.03362368082211852,0.034168859636954776
4153.8,171.77671972423082,101.1,0.011942206673968014,0.010919685142499053,0.0092375406956415,0.007554618767071533,0.0063521122712737145,0.00585938426982668,0.006313077248302655,0.008523103103820344,0.016786684762488794,0.0769337415126811,0.22304844883037578,0.06890073195076578,0.0776093449728585,0.049416667088656094,0.035331264834397205,0.03298000151310079,0.03364057554569548,0.034170655431907754
4153.9,174.8080560632309,101.0,0.0118915860368516,0.010852514106924368,0.009156458596519453,0.007478730722109866,0.006303037772051976,0.005860833093519966,0.00640737794162845,0.00880260109163606,0.017478164252091713,0.07966309564969795,0.2210146040721686,0.06999537326406358,0.07658860915407395,0.04875544629905577,0.03527291823058344,0.033005953904780554,0.033654460702974294,0.03417213260066983
4154.0,177.82911548007866,100.9,0.011805963761900294,0.010754168459634486,0.0090487289589244,0.0073798477783488395,0.006234529646043108,0.005848132985556921,0.0064997192153740235,0.009110987275352273,0.018232081088427766,0.08185110685099822,0.2187307230237785,0.07114841325861092,0.07513052831155988,0.04817221043554881,0.035249669717064495,0.03304261185375841,0.033669257758711345,0.034172848444649725
