fid,dist,dtm,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18,cond_19,cond_20,cond_21,cond_22,cond_23,cond_24
4148.0,0.0,103.8,0.00857995245322638,0.008231211779108275,0.007567241539856411,0.006718727808563341,0.005860616913332448,0.005149574139215869,0.004703044125851403,0.00463505377748242,0.005159636710156797,0.006869891909317,0.011734813264634021,0.027373927910907998,0.08133950920487684,0.16923622377015782,0.15063280881651084,0.11152599166356762,0.08754508256562797,0.07374292088199813,0.06565486449637747,0.0609868928431531,0.05835345224319798,0.05668523599351639,0.055405358684209885,0.05467215593060024
4148.1,2.8188827572434962,104.2,0.008296265026800267,0.00797057751831212,0.007346686450820455,0.0065427880770656845,0.005721813136867808,0.0050334938516850905,0.004592338698225813,0.004508342242556096,0.004981597060149421,0.006558137719768997,0.011040193957933916,0.02543476349920298,0.0763237231289279,0.1685794162569316,0.15250815379347052,0.11227493055790162,0.0876306643769358,0.0735395549522549,0.06533801742800519,0.060638253635494105,0.05801339340981575,0.05637247522738829,0.05512040891138567,0.054401618796268356
4148.2,5.647345237221441,104.4,0.008317948203857443,0.007982024159859928,0.007339958872957376,0.006515131064299516,0.0056749571963576285,0.0049702707400388286,0.004512993216005837,0.004406994182951704,0.004839827671627728,0.006325313077231233,0.010561688043231092,0.024185127625198196,0.07318428856718896,0.16840594850898125,0.15363797366056237,0.11237954953436297,0.0872108741970399,0.0729075949477182,0.0646366162180712,0.059935709411972383,0.057345933244205574,0.05575865947228134,0.054558098854881665,0.053866485523097675
4148.3,8.466227994576442,104.6,0.008280962331767743,0.007943455258216747,0.007298436569692974,0.0064699101493126175,0.005625562725570324,0.004915513785787694,0.004449608334814813,0.0043273656282156615,0.004726207208516061,0.006131395761284778,0.010144515177958637,0.02304140682378431,0.07012635478862318,0.16825820217565338,0.1548589054282397,0.11242453399004043,0.0866655795385285,0.0721382364741512,0.0638088270375215,0.059122047913419185,0.05657932787918636,0.05505453082764356,0.0539123466090007,0.05325157201054883
4148.4,11.29469047428768,104.7,0.008352684816780188,0.008002344828256973,0.007334885373642542,0.006481049859414363,0.005614378442238128,0.004886953293950283,0.004406786486053355,0.004268820619774422,0.004642033271968405,0.005991362711724644,0.009852937992020876,0.022258911540448026,0.06802489540943923,0.16829336841244594,0.1557268227653319,0.11230011904498816,0.0860643221089315,0.07135155089521657,0.06297035564388095,0.05829582399734983,0.05579801555648661,0.0543350419243181,0.05325178576324508,0.05262252602450335
4148.5,14.123152954265626,104.7,0.00854447858321247,0.008168001384473754,0.0074553705090514575,0.006551504721373751,0.005642184285273959,0.004884151646179861,0.004383448573438331,0.004229780154243772,0.0045849001509401495,0.0059007355639770515,0.009676335354472982,0.021809733844954406,0.06687298948159677,0.16878988522531127,0.15653889782478034,0.11228032142042065,0.08565213655887517,0.0707762729742117,0.062340394650650534,0.0576675050118954,0.055201484739821706,0.05378539315352933,0.05274723865335798,0.05214209864752182
4148.6,16.942035711620626,104.7,0.008640000386644532,0.008250130519477813,0.007514659942388352,0.006585892493987947,0.005655643795272275,0.004882639061138079,0.0043715505731444435,0.004208996177779016,0.004552008778817913,0.005842244432797094,0.009544904753802914,0.021419849698895325,0.06567449393570567,0.16874950872995212,0.15711532237983653,0.11215908527831123,0.08518208807019331,0.0701633772406908,0.061682794499759636,0.05701535908250475,0.05458184403517704,0.05321306212508626,0.05222108106454439,0.05164096368464401
4148.7,19.77049819159857,104.7,0.008656108457985624,0.008263803416414585,0.0075244443603438745,0.006591723817583703,0.0056583065204650436,0.004882900438051344,0.004369523815111611,0.004203597136946207,0.004539559741451934,0.005811196977690552,0.0094529552504382,0.0210835823782166,0.06443024438581266,0.16823927830802884,0.1579866812140038,0.11257609695476843,0.08529560381793412,0.07013476808403066,0.06159115056925876,0.056901364528249745,0.05446647726130845,0.05310611940497566,0.0521237882151146,0.05154881623319559
4148.8,22.598960671309808,104.6,0.008778644578740183,0.008371154154279348,0.007606261625007847,0.006646250805475336,0.005690644677195861,0.004900501516823978,0.004378836996338993,0.004208997676875852,0.0045435499280761715,0.005814305889802078,0.009449182389864074,0.02102563733131455,0.06406768132514684,0.16808784413822841,0.15850986148483823,0.11285269752054104,0.08540950443714179,0.07017232538553347,0.061590573494405894,0.05688324961504054,0.05444314926899701,0.05308388153987271,0.05210404122498365,0.051530381846044304
4148.9,25.41784342893242,104.5,0.008840267707448479,0.008425570184505822,0.007648880019152191,0.006676691233043202,0.005711657142698694,0.004915777939081862,0.004391584160333829,0.004221672051625823,0.00455823009385878,0.005832939481211051,0.009470576164890908,0.021013447542685783,0.06374121663552766,0.1675574945432684,0.15905259269831246,0.11332916228504462,0.08573743444173439,0.07041224995409076,0.061780419126940406,0.05704529443293483,0.05458930779062244,0.05321867333950413,0.052229239177377915,0.051650186131649393
