fid,dist,dtm,cond_1
4148.0,0.0,103.8,0.015160474133111583
4148.1,2.8188827572434962,104.2,0.014695347196390736
4148.2,5.647345237221441,104.4,0.01448999835342657
4148.3,8.466227994576442,104.6,0.014273525174699776
4148.4,11.29469047428768,104.7,0.01417788504280273
4148.5,14.123152954265626,104.7,0.014195989388046231
4148.6,16.942035711620626,104.7,0.014186429102458268
4148.7,19.77049819159857,104.7,0.01414060241102658
4148.8,22.598960671309808,104.6,0.01419669351790377
4148.9,25.41784342893242,104.5,0.0142208835286076
4149.0,28.24630590864366,104.4,0.01422275722055161
4149.1,31.16692228195049,104.3,0.014292682264227108
4149.2,34.07788432236525,104.3,0.0142202285679092
4149.3,36.99850069567208,104.2,0.01425834957334392
4149.4,39.919117068866505,104.2,0.014159868113613843
4149.5,42.83007910903811,104.1,0.014180771665544305
4149.6,45.75069548258729,104.0,0.014197575467712647
4149.7,48.67131185578172,103.9,0.014201716664934881
4149.8,51.5822738960657,103.8,0.014232918751661815
4149.9,54.50550840582072,103.7,0.014282903476981681
4150.0,57.4261247793699,103.5,0.014476295486114125
4150.1,60.41297931210235,103.4,0.01459932300904849
4150.2,63.399833844949,103.3,0.014753042987329818
4150.3,66.39649865748268,103.1,0.015077492428025736
4150.4,69.38335319032933,103.0,0.015302595169423448
4150.5,72.37020772306178,102.8,0.015703612620190942
4150.6,75.35706225590843,102.7,0.01597753555298015
4150.7,78.34391678875508,102.5,0.0163911871702396
4150.8,81.34058160146901,102.4,0.016651143323925914
4150.9,84.32743613431566,102.2,0.01704896227791853
4151.0,87.31429066704811,102.0,0.01743481061508545
4151.1,90.32470592074378,101.8,0.01772648472346925
4151.2,93.3339749349469,101.5,0.018170634631573774
4151.3,96.33445822951361,101.3,0.01848305440526127
4151.4,99.34372724371673,101.1,0.01878749515189257
4151.5,102.3541424974124,100.9,0.019075561186571676
4151.6,105.36341151172074,100.8,0.019202936191258898
4151.7,108.37382676541641,100.7,0.01932722324109643
4151.8,111.3731600246238,100.6,0.019450336064004335
4151.9,114.38357527842774,100.6,0.019436270820634805
4152.0,117.39284429263085,100.6,0.019441164121101775
4152.1,120.40523536951362,100.6,0.01940627427851712
4152.2,123.42761853514894,100.7,0.019261312402839105
