fid,dist,dtm,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18,cond_19,cond_20,cond_21,cond_22,cond_23,cond_24
4148.0,0.0,103.8,0.01198644609704315,0.010556599204897245,0.00846071589627111,0.006480079060522783,0.004968777266714205,0.003961941352902488,0.0033913699145425814,0.0032133673286311097,0.0034924250811053897,0.004574763330950572,0.007836297395031996,0.02068625140644812,0.11346899442090115,0.24792781387249,0.08860576070284332,0.05748674263827771,0.05247909657413158,0.04852500158842944,0.04040806185198605,0.033858076335382604,0.03108674161128816,0.031210742198165022,0.03256405231478908,0.03356083310511374
4148.1,2.8188827572434962,104.2,0.011435794474760364,0.010148778078369404,0.008226898358208988,0.006371370776663876,0.004926123020915404,0.0039446448014391275,0.003375139277065597,0.0031798725392913705,0.003415823493245842,0.004392865535104077,0.007337368225998872,0.018768866112032663,0.09997600154190141,0.2613495370555457,0.08646935152289108,0.05541862352678996,0.05142470815150688,0.04850008530889999,0.04042119398328471,0.03363604425483274,0.030764520570437548,0.030925933611846236,0.032394488984371875,0.03348660838323187
4148.2,5.647345237221441,104.4,0.011651461095855218,0.010253544399450297,0.008209825472647328,0.006282232683942928,0.004811598476445103,0.0038285647056700255,0.0032638741263317167,0.003069768447991117,0.0032943489325534363,0.004227012013827352,0.007009472797551019,0.017614186358657063,0.09186570285226328,0.27146231332825216,0.08338730003136144,0.05309056778609208,0.050205373084870754,0.04821149134414956,0.04011163248374304,0.03308137271544849,0.030137959299593692,0.030402948657823715,0.032084811698529475,0.03334117161867147
4148.3,8.466227994576442,104.6,0.00987508247434432,0.009849290074650194,0.009027587612579338,0.005897393104267863,0.004275059686734891,0.004103005193689037,0.004089056292455208,0.004082979686660355,0.0040868333741900425,0.004104815471953841,0.004407847849110736,0.013189244614123546,0.13884241710081144,0.13598449552697622,0.13113265368723676,0.1257838916806175,0.122212148915438,0.12028471620971676,0.11951860709325675,0.11944671537495007,0.11958347160673861,0.11966487211697109,0.11964408269263357,0.11961880359450573
4148.4,11.29469047428768,104.7,0.010765499373636382,0.010716926282601904,0.009240234975755995,0.005356129918101477,0.003923667495549199,0.0038153198169310794,0.0038061289397052257,0.003802583529260883,0.003807076801837157,0.0038226540114291406,0.004029227106828823,0.010996312872154607,0.14341979724359694,0.1363087478249995,0.12874451001199538,0.12059175837573913,0.1153780993686206,0.1125449997077703,0.11136149741396636,0.11117809815536515,0.11134893539029672,0.11144850560629478,0.11145271162164137,0.11143495570876132
4148.5,14.123152954265626,104.7,0.011785155344868624,0.011678292051371759,0.00932526423877564,0.004934949228697082,0.00367318442454984,0.0035904879392334023,0.003580191388539271,0.0035758532671690446,0.003579785304745521,0.0035960679014051438,0.003779690062808028,0.00944031442316299,0.14322429110476892,0.14685106145293123,0.12802532800213876,0.10884901630875321,0.097891686638984,0.09198999733371356,0.08918986441749299,0.08839189325342289,0.08854067021161892,0.08878307383965431,0.08884566718999486,0.08883467849856451
4148.6,16.942035711620626,104.7,0.011914945355501732,0.011756501635812842,0.00919835586006343,0.004912113691584122,0.0037152979963566064,0.003619825454266599,0.003598035568216881,0.0035906138625459885,0.003604080949058588,0.00364866145506391,0.003931217517361119,0.010278401931523842,0.13258128657040463,0.15669392415653374,0.13043766557399034,0.10577314789622834,0.09223615615254949,0.08498061811442309,0.08141869155106035,0.08024874032566397,0.08030965959135153,0.08059666332250232,0.08069708168229715,0.08068761245451622
4148.7,19.77049819159857,104.7,0.012137821286900751,0.011943751962952812,0.009035525469027904,0.0047645802118605534,0.0036896950463560147,0.0036115246810198894,0.003592769031414798,0.0035880432243926836,0.0036035208840065696,0.0036487357597874124,0.00391559971254872,0.009871579675265597,0.12862841904865818,0.1610758351383372,0.13124625661783304,0.1041556680685061,0.08984526037059484,0.08226635054618485,0.07849908150860462,0.07719764846092825,0.07720850612504358,0.07750364177411802,0.07762032900373274,0.07761420778279139
4148.8,22.598960671309808,104.6,0.014315678560736607,0.013236062036508968,0.006970087712251715,0.003970245831973273,0.0036838805162206813,0.0036798963508375537,0.003681177305432757,0.0036855062362812024,0.003691820102465658,0.003699945718582534,0.0037650445603872053,0.00677800530103994,0.13445241415906714,0.1636730431558626,0.1316675127029856,0.09722149507392024,0.0824728842150261,0.07548224573364706,0.07207132727134415,0.07092972184194216,0.07098121895730589,0.07125406312828883,0.07134950345796817,0.0713468581908093
4148.9,25.41784342893242,104.5,0.01478036691572918,0.013358233376328634,0.006617732473154492,0.003914145042396573,0.0037043082656642644,0.003702757680033307,0.0037056879072657496,0.003712142939647388,0.003720963371304921,0.0037318196165714267,0.00380855115191678,0.0069714319533406505,0.13287714081404667,0.16442048219909103,0.13218037852345826,0.0977286248818806,0.08306003876157209,0.07614929610197976,0.07279520664716425,0.07168976971067194,0.07175255973426803,0.0720220555025788,0.07211506460228219,0.07210960281568525
