fid,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18,cond_19
2319.0,0.008688389573242876,0.008570083211281583,0.00833590865407873,0.00807246553851801,0.0079967240040692,0.008545960026874806,0.010767569951556661,0.018526062418446645,0.05251489784195719,0.16718451226330155,0.1712012363947284,0.1343869318429473,0.12074652409670508,0.10902367123975457,0.09424790627300833,0.08162077833037258,0.0714582739573476,0.06347462607996286,0.05951154097508463
2319.1,0.008588152056440824,0.008488250126816393,0.00829156347306743,0.008077370537079439,0.00805069622942865,0.008633486585827854,0.010853490353783898,0.01847259354646244,0.051551127638433995,0.1668585187409196,0.17174528124898666,0.13471133031244825,0.12222579281321969,0.11128568149125702,0.09635463442553532,0.0833134595654593,0.07274407561041081,0.06449243332590952,0.06039417794650958
2319.2,0.008708915324936053,0.008608568560390176,0.00841018444335916,0.008192461313030159,0.008161418824567576,0.008738270695355873,0.010946927888343044,0.018504824740762982,0.05117768431479916,0.16753233443746837,0.17182441295373996,0.13396151414440996,0.12207822394289562,0.11191807130726038,0.0971507937089711,0.08398131382011591,0.07324218732406965,0.06489531873347847,0.06073313948898372
2319.3,0.00857890752884081,0.0084973075682085,0.008338068251185955,0.008173080724340628,0.008194133300433356,0.008804778386461298,0.01100470207317076,0.018403638491656875,0.050177251616068154,0.16707908925925088,0.172199780503506,0.1334659657054298,0.1218695767393891,0.11227364132607513,0.09763931701128623,0.08438727194450486,0.07354420931487281,0.06513415175992317,0.060931915852921695
2319.4,0.008678279935344193,0.008595250122680243,0.008432088296053922,0.008259057432645189,0.008267422139421403,0.00886643345541373,0.011049893788041134,0.01839437447549186,0.049895104127539655,0.1676566617690105,0.17222446282562837,0.13215794789056032,0.12008266295066074,0.11077378720735355,0.09648209508021138,0.08332177021123485,0.07261196529162614,0.06435488907968125,0.06026181971280425
2319.5,0.008764130220027005,0.008676930243522188,0.008504708965347028,0.008318404266249545,0.00831173052880055,0.008895356850469983,0.01106328027962107,0.01836962200190087,0.04967367924001147,0.16811271989401297,0.1721299639699895,0.13060151380172885,0.11779550530488449,0.10870524851368174,0.09500313296787084,0.08233256174359536,0.07195989453943316,0.06389339922750105,0.059871527025161866
2319.6,0.00882225282454041,0.008730644823029252,0.008548998526959544,0.008349651937523891,0.008329178258533597,0.008902134760467284,0.011060333646382642,0.01835134684420926,0.04958056045600485,0.1687449917909288,0.17209170208536853,0.12891176264511625,0.11479971563699698,0.10550875493302261,0.09242117263023844,0.08043588436267064,0.07061123917644808,0.0629396356628457,0.059085485799107815
2319.7,0.008838202307079573,0.008743274211866736,0.008555458434781463,0.008349635071128271,0.008324522938972262,0.008893916825920088,0.011053653855618224,0.018344674218756258,0.049525886669500606,0.16904446567461873,0.1720035975823399,0.12738334454737604,0.11183760657161484,0.10194463795781543,0.08916186233458394,0.07773178240609539,0.06845805599045202,0.061137173747448405,0.057471048772184063
2319.8,0.00907749011284232,0.008959875468304986,0.008724668891471495,0.008456117535399257,0.008372016565679359,0.008902043650089486,0.01106355251647574,0.0184738108398126,0.05019469873636972,0.1702479030793299,0.17155189828599637,0.12578285057438535,0.109002888760359,0.09852442702192325,0.08603131192817798,0.07526333149775763,0.06653022436185778,0.059650990325076196,0.05616770252303419
2319.9,0.00924749292207587,0.009112145239870565,0.00884065858640907,0.00852497116882349,0.00839694293152455,0.008900246894602603,0.011067722876043887,0.018571926003021568,0.050719064425895743,0.1710699476141164,0.17109178182244142,0.1242198448800596,0.10631181995142759,0.09544320415020092,0.08329960740123687,0.07305840311279808,0.06480971862527307,0.05828761999488523,0.05497788922379015
